author,title,filename
"Toni Morrison","The Bluest Eye","the-bluest-eye.epub"
"Quinn Slobodian","Crack-up capitalism","Crack-up capitalism _ market radicals and the dream of a -- Quinn Slobodian -- 2022 -- Metropolitan Books, Henry Holt and Company -- 9781250753892 -- 5063dd89e4474a764c87fbded9996ae5 -- Anna’s Archive.epub"
